"店铺名称2","店铺连接","店铺名称","掌柜ID","产品标题","产品链接","价格1","积累评论数量","价格","字段6","字段7","追评","时间","字段22","字段9","图片1","图片2","追平1","追平2","追评3","追评4","字段17"
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","l***1（匿名）","质量很好的鞋子 买给弟弟当过年新鞋的 脚感很好 喜欢这种简单的款式",,"2018年01月26日 18:37",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","迁***兄（匿名）","鞋子收到了呢！穿着很舒服，就喜欢这样的穿着舒服的鞋子，脚不受委屈！ 不错价格实惠",,"2018年02月08日 08:56",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","一***顿（匿名）","鞋子收到了，和图片上的一样，没有色差，穿上很舒服，版型时尚，做工精细，满意",,"2018年01月28日 19:47",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","1***平（匿名）","收到宝贝了，鞋子很正品的，喜欢穿这种鞋子上班或跑步，穿上不累脚，大小也合适",,"2018年01月30日 12:43",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","w***5","买了这款低帮鞋金典帆布鞋面料很好，穿在脚上很舒服做工精细外观精美。这么很好！",,"2018年01月25日 19:06",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","肖***8（匿名）","到货迫不及待就试穿了，太好看了，这个牌子的鞋比店里优惠多了，穿着和店里卖的没啥区别，以后就不用去店里了",,"2018年01月26日 20:55",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","q***3（匿名）","鞋子真不错！是正品，给弟弟买的，上脚效果特别好，帅气，他很满意！老公看到了也很喜欢，回来来买一双，开春就可以穿了！",,"2018年01月30日 15:11",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","梦***0（匿名）","鞋底柔软舒适，鞋子码数标准，回来就试穿了，非常舒服，不累脚，朋友都说不错，推荐哦",,"2018年01月24日 19:33",,"颜色分类：黑色",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","飞***淘（匿名）","一直想买的鞋子，实物果然没失望！黑色经典百搭，合脚~",,"2018年01月26日 22:08",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","许***1","鞋子质量很好，大小很合适，穿上很舒服，版型很好看。",,"2018年01月19日 18:10",,"颜色分类：低帮",,,,,,,
