"日期","初次评价","追评时间","追评内容","卖家解释","套餐类别","店铺名称","商品标题","商品链接","商品ID","描述评分","评价标签","人气","月销量"
"2016.11.20","得，第一次海淘！就这样吧，反正不是我想的那样！",,,,"颜色分类：vn--0d3hy28鞋码：38.5","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.12.02","正",,,,"颜色分类：vn--0d3hy28鞋码：40.5","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.08.15","很好，是真品！下次还会光顾                                                                               ",,,,"颜色分类：vn--0d3hy28鞋码：42","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.09.19","稍微有瑕疵，总体还好","收货38天后追加：","好","亲爱的顾客，给您带来了不愉快的购物体验，深表歉意。鞋子是工业制成品，流水线生产过程中处理的可能不是那么完美，请您谅解。SNEAKERHEAD承诺给所有顾客提供的皆为100%正品保证的商品，我们接受各种验证，包括各大权威验鞋论坛，推荐虎扑鉴定，新浪鞋狂或者是Nike粉丝论坛哦。若后期有任何质量问题请告知我们，我们会根据国家三包法规定给您解决，希望您能继续支持我们店铺，SNEAKERHEAD期待您的下次光临!","颜色分类：vn--0d3hbka鞋码：40.5","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.12.11","还可以哟                                                          ",,,,"颜色分类：vn--0d3hy28鞋码：40.5","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.12.04","除了有点儿久，我也不知道该说什么了…",,,,"颜色分类：vn--0d3hy28鞋码：42.5","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2017.01.18","鞋子很好看，穿着也挺舒服的！超值",,,,"颜色分类：vn--0d3hy28鞋码：39","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.12.07","客服态度很好鞋子也很nice",,,,"颜色分类：vn--0d3hy28鞋码：42","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2017.11.03","穿着很不错",,,"亲爱的顾客，感谢您的支持与厚爱。我们会再接再厉，做的更好， SNEAKERHEAD会一直为您提供奉若上宾的服务，期待您再次光临！","颜色分类：vn-0d3hy28鞋码：42","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
"2016.12.14","挺好的                                                                               ",,,,"颜色分类：vn--04ojjpv鞋码：42","sneakerhead海外旗舰店","Vans Old Skool 范斯男鞋 经典低帮休闲板鞋 潮流运动鞋-tmall.hk天猫国际","https://detail.tmall.hk/hk/item.htm?id=532967036969&skuId=3188467314203&areaId=110100&user_id=1792368114&cat_id=2&is_b=1&rn=82eda9dfeb4e7109f1196890e75a09b4","532967036969","4.8","鞋子不错(10)穿着效果不错(8)","11128","22"
